assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
115565566,10826,Indri indri,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,INDRIIDAE,Indri,indri,,,,"(Gmelin, 1788)",Critically Endangered,A3cd+4cd,3.1,Decreasing,Global
115566869,11621,Lepilemur ruficaudatus,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,LEPILEMURIDAE,Lepilemur,ruficaudatus,,,,"A. Grandidier, 1867",Critically Endangered,A3cd+4cd,3.1,Decreasing,Global
115567059,11622,Lepilemur septentrionalis,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,LEPILEMURIDAE,Lepilemur,septentrionalis,,,,"Rumpler &amp; Albignac, 1975",Critically Endangered,"A2acd+3cd+4acd; C2a(i,ii); D",3.1,Decreasing,Global
115571806,18352,Propithecus tattersalli,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,INDRIIDAE,Propithecus,tattersalli,,,,"Simons, 1988",Critically Endangered,A2acd+4acd,3.1,Decreasing,Global
115572044,18354,Propithecus verreauxi,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,INDRIIDAE,Propithecus,verreauxi,,,,"A. Grandidier, 1867",Critically Endangered,A2cde+3cde+4cde,3.1,Decreasing,Global
115572275,18355,Propithecus coquereli,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,INDRIIDAE,Propithecus,coquereli,,,,"(A. Grandidier, 1867)",Critically Endangered,A2cd+3cd+4cd,3.1,Decreasing,Global
115572495,18356,Propithecus coronatus,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,INDRIIDAE,Propithecus,coronatus,,,,"Milne-Edwards, 1871",Critically Endangered,A2acd,3.1,Decreasing,Global
115572684,18357,Propithecus deckenii,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,INDRIIDAE,Propithecus,deckenii,,,,"A. Grandidier, 1867",Critically Endangered,A3cd,3.1,Decreasing,Global
115572884,18358,Propithecus diadema,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,INDRIIDAE,Propithecus,diadema,,,,"Bennett, 1832",Critically Endangered,A3cd+4cd,3.1,Decreasing,Global
115573359,18360,Propithecus candidus,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,INDRIIDAE,Propithecus,candidus,,,,"A. Grandidier, 1871",Critically Endangered,C2a(i),3.1,Decreasing,Global
115573556,18361,Propithecus perrieri,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,INDRIIDAE,Propithecus,perrieri,,,,"Lavauden, 1931",Critically Endangered,A2a; C2a(ii),3.1,Decreasing,Global
115574178,22918,Varecia variegata,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,LEMURIDAE,Varecia,variegata,,,,"(Kerr, 1792)",Critically Endangered,A2cd+3cd+4cd,3.1,Decreasing,Global
115574598,22920,Varecia rubra,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,LEMURIDAE,Varecia,rubra,,,,"(É. Geoffroy, 1812)",Critically Endangered,A4cd,3.1,Decreasing,Global
115579719,41576,Cheirogaleus sibreei,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CHEIROGALEIDAE,Cheirogaleus,sibreei,,,,"(Forsyth Major, 1894)",Critically Endangered,A4c,3.1,Decreasing,Global
115579946,41579,Avahi unicolor,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,INDRIIDAE,Avahi,unicolor,,,,"Thalmann &amp; Geissmann, 2000",Critically Endangered,A2c+3c+4c,3.1,Decreasing,Global
115582253,136335,Avahi cleesei,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,INDRIIDAE,Avahi,cleesei,,,,"Thalmann &amp; Geissmann, 2005",Critically Endangered,A2c+3c+4c,3.1,Decreasing,Global
115583306,136491,Lepilemur jamesorum,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,LEPILEMURIDAE,Lepilemur,jamesorum,,,,"Louis Jr., Engberg, Lei, Geng, Sommer, Randriamampionona, Randriamanana, Zaonarivelo, Andriantompohavana, Randria, Prosper, Ramaromilanto, Rakotoarisoa, Rooney &amp; Brenneman, 2006",Critically Endangered,"B1ab(i,iii,v)",3.1,Decreasing,Global
115584072,136645,Lepilemur sahamalaza,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,LEPILEMURIDAE,Lepilemur,sahamalaza,,,,"Andriaholinirina, Fausser, Roos, Zinner, Thalmann, Rabarivola, Ravoarimanana, Ganzhorn, Meier, Hilgartner, Walter, Zaramody, Langer, Hahn, Zimmermann, Radespiel, Craul, Tomiuk, Tattersall &amp; Rumpler, 2017",Critically Endangered,A2acd+3cd+4cd,3.1,Decreasing,Global
115585199,136709,Lepilemur tymerlachsoni,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,LEPILEMURIDAE,Lepilemur,tymerlachsoni,,,,"Louis Jr., Engberg, Lei, Geng, Sommer, Randriamampionona, Randriamanana, Zaonarivelo, Andriantompohavana, Randria, Prosper, Ramaromilanto, Rakotoarisoa, Rooney &amp; Brenneman, 2006",Critically Endangered,"A2ac+3c+4c; B1ab(i,iii,v)",3.1,Decreasing,Global
115585939,136771,Lepilemur grewcockorum,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,LEPILEMURIDAE,Lepilemur,grewcockorum,,,,"Louis Jr., Engberg, Lei, Geng, Sommer, Randriamampionona, Randriamanana, Zaonarivelo, Andriantompohavana, Randria, Prosper, Ramaromilanto, Rakotoarisoa, Rooney, &amp; Brenneman, 2006",Critically Endangered,A2cd+3cd+4cd,3.1,Decreasing,Global
115587841,16971489,Lepilemur hollandorum,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,LEPILEMURIDAE,Lepilemur,hollandorum,,,,"Ramaromilanto, Lei, Engberg, Johnson, Sitzmann &amp; Louis , 2009",Critically Endangered,A2cd+3cd+4cd,3.1,Decreasing,Global
115604121,115604119,Rhinophis roshanpererai,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,UROPELTIDAE,Rhinophis,roshanpererai,,,,"Wickramasinghe, Vidanapathirana, Rajeev &amp; Gower, 2017",Critically Endangered,B1ab(iii),3.1,Decreasing,Global
115604137,115604135,Rhinophis goweri,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,UROPELTIDAE,Rhinophis,goweri,,,,"Aengals &amp; Ganesh, 2013",Critically Endangered,B1ab(iii),3.1,Decreasing,Global
115604189,197168,Rhinophis phillipsi,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,UROPELTIDAE,Rhinophis,phillipsi,,,,"(Nicholls, 1929)",Critically Endangered,"B1ab(ii,iii)",3.1,Decreasing,Global
115617810,55572,Aplastodiscus musicus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,HYLIDAE,Aplastodiscus,musicus,,,,"(B. Lutz, 1949)",Critically Endangered,B1ab(v); D,3.1,Decreasing,Global
116831653,44571,Squatina armata,ANIMALIA,CHORDATA,SQUATINIFORMES,CHONDRICHTHYES,SQUATINIDAE,Squatina,armata,,,,"(Philippi, 1887)",Critically Endangered,A2bd+3d,3.1,Decreasing,Global
117240397,48101579,Leptobrachella bidoupensis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MEGOPHRYIDAE,Leptobrachella,bidoupensis,,,,"(Rowley, Le, Tran &amp; Hoang, 2011)",Critically Endangered,B1ab(iii),3.1,Decreasing,Global
118235255,197183,Indotyphlops leucomelas,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,TYPHLOPIDAE,Indotyphlops,leucomelas,,,,"(Boulenger, 1890)",Critically Endangered,"B1ab(ii,iii)",3.1,Decreasing,Global
118972321,3170,Anaxyrus houstonensis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Anaxyrus,houstonensis,,,,"(Sanders, 1953)",Critically Endangered,C2a(ii),3.1,Decreasing,Global
118973099,3181,Anaxyrus nelsoni,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Anaxyrus,nelsoni,,,,"(Stejneger, 1893)",Critically Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
118973249,8391,Eurycea nana,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Eurycea,nana,,,,"Bishop, 1941",Critically Endangered,B1ab(iii)+2ab(iii),3.1,Decreasing,Global
118975720,39262,Eurycea rathbuni,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Eurycea,rathbuni,,,,"(Stejneger, 1897)",Critically Endangered,B1ab(iii),3.1,Decreasing,Global
118991199,59271,Eurycea naufragia,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Eurycea,naufragia,,,,"Chippindale, Price, Wiens &amp; Hillis, 2000",Critically Endangered,B1ab(iii),3.1,Decreasing,Global
118992651,59283,Gyrinophilus subterraneus,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Gyrinophilus,subterraneus,,,,"Besharse &amp; Holsinger, 1977",Critically Endangered,B1ab(v)+2ab(v),3.1,Decreasing,Global
119131308,16296,Partula affinis,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,PARTULIDAE,Partula,affinis,,,,"Pease, 1868",Critically Endangered,D,3.1,Decreasing,Global
119136281,168194,Samoana bellula,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,PARTULIDAE,Samoana,bellula,,,,"(Hartman, 1885)",Critically Endangered,"B1ab(ii,iv)+2ab(ii,iv)",3.1,Decreasing,Global
119167161,22137,Tridacna gigas,ANIMALIA,MOLLUSCA,CARDIIDA,BIVALVIA,CARDIIDAE,Tridacna,gigas,,,,"(Linnaeus, 1758)",Critically Endangered,A2acd,3.1,Decreasing,Global
120689819,120689817,Trachylepis nganghae,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,SCINCIDAE,Trachylepis,nganghae,,,,"Ineich &amp; Chrio, 2004",Critically Endangered,B1ab(iii)+2ab(iii),3.1,Decreasing,Global
120872031,18601,Pseudoscaphirhynchus kaufmanni,ANIMALIA,CHORDATA,ACIPENSERIFORMES,ACTINOPTERYGII,ACIPENSERIDAE,Pseudoscaphirhynchus,kaufmanni,,,,"(Kessler, 1877)",Critically Endangered,A2c,3.1,Decreasing,Global
121210485,2958,Brachionichthys hirsutus,ANIMALIA,CHORDATA,LOPHIIFORMES,ACTINOPTERYGII,BRACHIONICHTHYIDAE,Brachionichthys,hirsutus,,,,"(Lacepède, 1804)",Critically Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
121249009,57306,Proceratophrys palustris,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,ODONTOPHRYNIDAE,Proceratophrys,palustris,,,,"Giaretta &amp; Sazima, 1993",Critically Endangered,B1ab(iii),3.1,Decreasing,Global
121383686,121383673,Ansonia khaochangensis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Ansonia,khaochangensis,,,,"Grismer, Wood, Aowphol, Cota, Grismer, Murdoch, Aguilar &amp; Grismer, 2016",Critically Endangered,B1ab(iii)+2ab(iii),3.1,Decreasing,Global
121385865,121385062,Boulengerula spawlsi,ANIMALIA,CHORDATA,GYMNOPHIONA,AMPHIBIA,HERPELIDAE,Boulengerula,spawlsi,,,,"Wilkinson, Malonza, Campbell &amp; Loader, 2017",Critically Endangered,B1ab(iii),3.1,Decreasing,Global
121386753,121386674,Dendropsophus nekronastes,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,HYLIDAE,Dendropsophus,nekronastes,,,,"Dias, Haddad, Argôlo &amp; Orrico, 2017",Critically Endangered,B1ab(iii)+2ab(iii),3.1,Decreasing,Global
121499536,8218,Plestiodon longirostris,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,SCINCIDAE,Plestiodon,longirostris,,,,"Cope, 1861",Critically Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
122058452,10820,Indolestes boninensis,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,LESTIDAE,Indolestes,boninensis,,,,"(Asahina, 1952)",Critically Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
122172217,78494566,Echinotriton maxiquadratus,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,SALAMANDRIDAE,Echinotriton,maxiquadratus,,,,"Hou, Wu, Yang, Zheng, Yuan &amp; Li, 2014",Critically Endangered,B2ab(iii),3.1,Decreasing,Global
122172237,78516909,Hypselotriton glaucus,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,SALAMANDRIDAE,Hypselotriton,glaucus,,,,"(Yuan, Jiang, Ding, Zhang &amp; Che, 2013)",Critically Endangered,B1ab(iii),3.1,Decreasing,Global
122172247,78519396,Megophrys acuta,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MEGOPHRYIDAE,Megophrys,acuta,,,,"Wang, Li &amp; Jin, 2014",Critically Endangered,B1ab(iii),3.1,Decreasing,Global
122172252,78519453,Megophrys baolongensis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MEGOPHRYIDAE,Megophrys,baolongensis,,,,"Ye, Fei &amp; Xie, 2007",Critically Endangered,B1ab(iii),3.1,Decreasing,Global
122172277,78520054,Megophrys obesa,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MEGOPHRYIDAE,Megophrys,obesa,,,,"Wang, Li &amp; Zhao, 2014",Critically Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
