internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
173830177,Cynolebias akroa,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINODONTIFORMES,RIVULIDAE,Cynolebias,akroa,,,,,"Nielsen, Martins, Araujo, Lira &amp; Faour, 2018",
173832069,Hypsolebias faouri,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINODONTIFORMES,RIVULIDAE,Hypsolebias,faouri,,,,,"Britzke, Nielsen &amp; Oliveira, 2016",
55623,Bokermannohyla ravida,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Bokermannohyla,ravida,,,,,"(Caramaschi, Napoli &amp; Bernardes, 2001)",This species was previously within the genus <em>Hyla</em> but has since been moved to the genus <em>Bokermannohyla</em> (Faivovich <em>et al.</em> 2005).
54530,Atelopus muisca,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Atelopus,muisca,,,,,"Rueda-Almonacid &amp; Hoyos, 1992",
107605000,Maculabatis bineeshi,ANIMALIA,CHORDATA,CHONDRICHTHYES,MYLIOBATIFORMES,DASYATIDAE,Maculabatis,bineeshi,,,,,"Manjaji-Matsumoto &amp; Last, 2016",Previously confused with the Whitespotted Whipray (<em>Maculabatis gerrardi</em>) from which it can be distinguished based on colour and morphometrics (Manjaji-Matsumoto and Last 2016).
29479,Abronia frosti,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,frosti,,,,,"Campbell, Sasa, Aceevedo &amp; Mendelson, 1998",
15038553,Acrostira euphorbiae,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,PAMPHAGIDAE,Acrostira,euphorbiae,,,,,"Garcia-Becerra &amp; Oromi, 1992",
55141,Allobates ranoides,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,AROMOBATIDAE,Allobates,ranoides,,,,,"(Boulenger, 1918)",This species was removed from the synonymy of <i>Allobates brunneus</i> by Silverstone (1971).
182434069,Lerista storri,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,SCINCIDAE,Lerista,storri,,,,,"Greer, Mcdonald &amp; Lawrie, 1983","Amey <em>et al</em>. (2019) revised<em> Lerista storri</em>, and described <em>Lerista alia</em> and <em>Lerista parameles</em> as new species."
122150350,Amphicnemis madelenae,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,Amphicnemis,madelenae,,,,,"Laidlaw, 1913",
190943,Anodonthyla theoi,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Anodonthyla,theoi,,,,," Vences, Glaw, Köhler &amp; Wollenberg, 2010",
