internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
58599716,Plectostoma umbilicatum,"Opisthostoma umbilicatum van Benthem-Jutting, 1952",Opisthostoma,umbilicatum,"van Benthem-Jutting, 1952",,
59110,Pseudohynobius puxiongensis,"Protohynobius puxiongensis Fei & Ye, 2000",Protohynobius,puxiongensis,"Fei & Ye, 2000",,
57614,Scutiger maculatus,"Aelurophryne maculata Liu, 1950",Aelurophryne,maculata,"Liu, 1950",,
88384283,Paramesotriton labiatus,"Pachytriton labiatus (Unterstein, 1930)",Pachytriton,labiatus,"(Unterstein, 1930)",,
88384283,Paramesotriton labiatus,"Molge labiatum Unterstein, 1930",Molge,labiatum,"Unterstein, 1930",,
88384283,Paramesotriton labiatus,"Paramesotriton ermizhaoi Wu, Rovito, Papenfuss & Hanken, 2009",Paramesotriton,ermizhaoi,"Wu, Rovito, Papenfuss & Hanken, 2009",,
59439,Hypselotriton chenggongensis,"Cynops chenggongensis Kou &amp; Xing, 1983",Cynops,chenggongensis,"Kou &amp; Xing, 1983",,
57668,Choerophryne siegfriedi,"Albericus siegfriedi Menzies, 1999",Albericus,siegfriedi,"Menzies, 1999",,
74994974,Anolis darlingtoni,"Deiroptyx darlingtoni (Cochran, 1935)",Deiroptyx,darlingtoni,"(Cochran, 1935)",,
74994974,Anolis darlingtoni,"Xiphocercus darlingtoni Cochran, 1935",Xiphocercus,darlingtoni,"Cochran, 1935",,
74995297,Anolis eugenegrahami,"Xiphosurus eugenegrahami (Schwartz, 1978)",Xiphosurus,eugenegrahami,"(Schwartz, 1978)",,
74995991,Anolis nelsoni,"Norops nelsoni (Barbour, 1914)",Norops,nelsoni,"(Barbour, 1914)",,
75085311,Anolis rimarum,"Deiroptyx rimarum (Thomas & Schwartz, 1967)",Deiroptyx,rimarum,"(Thomas & Schwartz, 1967)",,
77343283,Nidirana hainanensis,"Babina hainanensis (Fei, Ye &amp; Jiang, 2007)",Babina,hainanensis,"(Fei, Ye &amp; Jiang, 2007)",,
77343283,Nidirana hainanensis,"Hylarana hainanensis Fei, Ye & Jiang, 2007",Hylarana,hainanensis,"Fei, Ye & Jiang, 2007",,
136003,Litoria myola,"Dryopsophus myola (Hoskin, 2007)",Dryopsophus,myola,"(Hoskin, 2007)",,
136003,Litoria myola,"Ranoidea myola (Hoskin, 2007)",Ranoidea,myola,"(Hoskin, 2007)",,
9031,Anstisia alba,"Anstisia alba (Wardell-Johnson & Roberts, 1989)",Anstisia,alba,"(Wardell-Johnson & Roberts, 1989) ",,
9031,Anstisia alba,"Geocrinia alba Wardell-Johnson &amp; Roberts, 1989",Geocrinia,alba,"Wardell-Johnson &amp; Roberts, 1989",,
12145,Litoria castanea,"Litoria flavipunctata Courtice & Grigg, 1975",Litoria,flavipunctata,"Courtice & Grigg, 1975",,
12145,Litoria castanea,"Hyla castanea Steindachner, 1867",Hyla,castanea,"Steindachner, 1867",,
12154,Litoria spenceri,"Ranoidea spenceri ( Dubois, 1984)",Ranoidea,spenceri,"( Dubois, 1984)",,
12154,Litoria spenceri,"Dryopsophus spenceri ( Dubois, 1984)",Dryopsophus,spenceri,"( Dubois, 1984)",,
78399187,Litoria kroombitensis,"Ranoidea kroombitensis (Hoskin, Hines, Meyer, Clarke & Cunningham, 2013)",Ranoidea,kroombitensis,"(Hoskin, Hines, Meyer, Clarke & Cunningham, 2013)",,
78399187,Litoria kroombitensis,"Dryopsophus kroombitensis (Hoskin, Hines, Meyer, Clarke & Cunningham, 2013)",Dryopsophus,kroombitensis,"(Hoskin, Hines, Meyer, Clarke & Cunningham, 2013)",,
78763727,Haliotis corrugata,"Haliotis nodosa Philippi, 1845",Haliotis,nodosa,"Philippi, 1845",,
78763727,Haliotis corrugata,"Haliotis diegoensis Orcutt, 1900",Haliotis,diegoensis,"Orcutt, 1900",,
78768961,Haliotis fulgens,"Haliotis planilirata Reeve, 1846",Haliotis,planilirata,"Reeve, 1846",,
78768961,Haliotis fulgens,"Haliotis splendens Reeve, 1846",Haliotis,splendens,"Reeve, 1846",,
78771583,Haliotis rufescens,"Haliotis californiana Valenciennes, 1832",Haliotis,californiana,"Valenciennes, 1832",,
78771583,Haliotis rufescens,"Haliotis hattorii Bartsch, 1940",Haliotis,hattorii,"Bartsch, 1940",,
78771583,Haliotis rufescens,"Haliotis ponderosa Adams, 1848",Haliotis,ponderosa,"Adams, 1848",,
41880,Haliotis cracherodii,"Haliotis bonita Orcutt, 1900",Haliotis,bonita,"Orcutt, 1900",,
56502,Strabomantis cerastes,"Eleutherodactylus cerastes Lynch, 1975",Eleutherodactylus,cerastes,"Lynch, 1975",,
56502,Strabomantis cerastes,"Eleutherodactylus sernai Rivero, 1984",Eleutherodactylus,sernai,"Rivero, 1984",,
56422,Strabomantis anomalus,"Eleutherodactylus  anomalus (Boulenger, 1898)",Eleutherodactylus ,anomalus,"(Boulenger, 1898)",,
56422,Strabomantis anomalus,"Hylodes anomalus Boulenger, 1898",Hylodes,anomalus,"Boulenger, 1898",,
56422,Strabomantis anomalus,"Craugastor anomalus (Boulenger, 1898)",Craugastor,anomalus,"(Boulenger, 1898)",,
56571,Pristimantis duellmani,"Eleutherodactylus duellmani Lynch, 1980",Eleutherodactylus,duellmani,"Lynch, 1980",,
54590,Rhaebo blombergi,"Bufo blombergi Myers & Funkhouser, 1951",Bufo,blombergi,"Myers & Funkhouser, 1951",,
54969,Nymphargus megacheirus,"Cochranella megacheira (Lynch & Duellman, 1973)",Cochranella,megacheira,"(Lynch & Duellman, 1973)",,
54969,Nymphargus megacheirus,"Centrolenella  megacheira  Lynch & Duellman, 1973",Centrolenella ,megacheira ,"Lynch & Duellman, 1973",,
54908,Centrolene buckleyi,"Centrolenella johnelsi Cochran & Goin, 1970",Centrolenella,johnelsi,"Cochran & Goin, 1970",,
54908,Centrolene buckleyi,"Hylella buckleyi Boulenger, 1882",Hylella,buckleyi,"Boulenger, 1882",,
48086163,Ololygon muriciensis,"Scinax muriciensis Cruz, Nunes &amp; Lima, 2011",Scinax,muriciensis,"Cruz, Nunes &amp; Lima, 2011",,
77320561,Nyctimantis pomba,"Aparasphenodon pomba Assis, Santana, Silva, Quintela &amp; Feio, 2013",Aparasphenodon,pomba,"Assis, Santana, Silva, Quintela &amp; Feio, 2013",,
